Date,Open,High,Low,Close,Adj Close,Volume
1/3/2014,138.369995,138.880005,138.029999,138.449997,105.87429,2133300
1/6/2014,138.75,139.289993,137.479996,137.630005,105.247223,2712100
1/7/2014,137.449997,138.199997,137.130005,137.649994,105.262512,2525500
1/8/2014,137.479996,137.75,136.339996,136.630005,104.482513,3122700
1/9/2014,137.020004,137.429993,136.199997,136.449997,104.344894,2539900
1/10/2014,136.949997,137.190002,135.679993,136.179993,104.138405,3254300
1/13/2014,135.809998,137.059998,134.570007,134.679993,102.991333,2633400
1/14/2014,135.110001,137.410004,134.740005,137.410004,105.078995,2479700
1/15/2014,137.770004,138.820007,137.559998,138.440002,105.866615,3025900
1/16/2014,137.740005,138.5,137.630005,138.160004,105.652496,1792700
1/17/2014,137.979996,138.75,136.979996,137.309998,105.002502,2327900
1/21/2014,138.449997,138.949997,136.300003,136.990005,104.757805,2705700
1/22/2014,137.350006,137.490005,136.330002,136.479996,104.367783,2118800
1/23/2014,135.639999,135.660004,133.949997,134.710007,103.014275,2720300
1/24/2014,133.729996,133.729996,130.220001,130.220001,99.580719,3776100
1/27/2014,130.020004,130.589996,128.660004,128.960007,98.617188,3312800
1/28/2014,129.429993,130.009995,129.100006,129.809998,99.267197,2734200
1/29/2014,130.100006,131.270004,129,130.25,99.603661,3584000
1/30/2014,129.960007,129.960007,126.529999,128.050003,97.92128,4102600
1/31/2014,126.599998,129.199997,126.419998,128.190002,98.028328,3715400
2/3/2014,128.220001,128.589996,123.610001,123.900002,94.747749,4245100
2/4/2014,126.089996,127.639999,124.120003,126.720001,96.904213,7412500
2/5/2014,128.009995,128.759995,125.919998,127.360001,97.393646,4960000
2/6/2014,127.599998,129.199997,127.099998,128.899994,98.571274,3828400
2/7/2014,129.570007,130.389999,128.809998,130.330002,99.664818,3263200
2/10/2014,129.649994,130.410004,129.020004,129.699997,99.18309,3317400
2/11/2014,129.699997,131.490005,129.649994,130.979996,100.161858,2604000
2/12/2014,130.339996,131,130.009995,130.440002,100.404373,2100600
2/13/2014,129.289993,130.380005,128.660004,130.139999,100.173431,2850600
2/14/2014,129.770004,132.190002,129.5,132.119995,101.697502,3030000
2/18/2014,132.309998,132.75,131.639999,131.800003,101.451195,2876500
2/19/2014,131.330002,132.710007,130.460007,130.559998,100.49675,2719400
2/20/2014,130.649994,132.029999,130.050003,131.559998,101.266464,2155800
2/21/2014,131.559998,132.330002,131.300003,131.570007,101.274162,2574300
2/24/2014,131.889999,133.460007,131.440002,132.199997,101.759094,2454300
2/25/2014,132.270004,133.429993,131.860001,132.929993,102.320999,2863100
2/26/2014,133.130005,133.460007,132.279999,132.860001,102.267097,2771100
2/27/2014,132.630005,134.580002,132,134.339996,103.406334,3124000
2/28/2014,134.190002,135.199997,133.919998,134.729996,103.706512,3179400
3/3/2014,133.070007,133.809998,131.669998,132.210007,101.7668,2814400
3/4/2014,131.919998,133.080002,131.580002,132.679993,102.128555,6975500
3/5/2014,132.660004,134.029999,132.190002,133.850006,103.02919,3551400
3/6/2014,134.369995,134.740005,134.020004,134.080002,103.206207,2236800
3/7/2014,134.880005,135,133.710007,134.110001,103.229317,2381400
3/10/2014,133.979996,134.080002,133.100006,133.559998,102.805939,1966100
3/11/2014,133.729996,133.839996,132.229996,132.509995,101.997711,1928900
3/12/2014,132.070007,132.759995,131.589996,132.570007,102.043907,2637000
3/13/2014,133.190002,133.669998,130.639999,130.809998,100.689163,2520700
3/14/2014,130.080002,131.110001,129.699997,129.830002,99.934853,2975100
3/17/2014,130.660004,132.690002,130.660004,132.270004,101.813004,2529400
3/18/2014,132.490005,133.229996,132.25,132.740005,102.174767,2032800
3/19/2014,132.75,132.850006,130.580002,131.229996,101.012466,2141000
3/20/2014,131.149994,132.850006,130.860001,132.429993,101.936134,2577500
3/21/2014,133.580002,134.240005,132.899994,133.119995,102.467239,5920400
3/24/2014,133.320007,133.699997,131.880005,132.419998,101.928429,2793600
3/25/2014,133.660004,134.529999,132.899994,134.059998,103.190796,2897600
3/26/2014,134.660004,134.889999,133.089996,133.089996,102.44416,2318900
3/27/2014,132.820007,133.490005,132.179993,132.839996,102.251747,2402500
3/28/2014,133.580002,134.970001,133.179993,134.199997,103.298531,1906500
3/31/2014,134.610001,135.869995,134.580002,135.660004,104.422363,2711800
4/1/2014,135.880005,136.649994,135.669998,136.529999,105.092049,2370800
4/2/2014,135.990005,136.25,135.330002,136,104.684074,3281400
4/3/2014,136.220001,137.190002,135.699997,136.139999,104.79187,2676200
4/4/2014,136.899994,137.770004,135.770004,135.860001,104.576324,2735300
4/7/2014,135.809998,136.25,134.389999,134.399994,103.452477,2807500
4/8/2014,134.440002,135.149994,133.429993,134.839996,103.791191,2893600
4/9/2014,135,135.869995,134.5,135.839996,104.560936,2671900
4/10/2014,135.729996,136.429993,133.899994,133.970001,103.121536,2857200
4/11/2014,133.369995,133.839996,132.389999,132.389999,101.905334,2368200
4/14/2014,133.449997,133.520004,132.020004,133.149994,102.490334,2058100
4/15/2014,133.270004,134.350006,132.020004,134.089996,103.213905,2119000
4/16/2014,135.169998,136.779999,134.809998,136.770004,105.276764,2135200
4/17/2014,137.300003,138.25,137.25,137.729996,106.015717,2645600
4/21/2014,137.25,138.710007,137.179993,138.619995,106.700783,1781100
4/22/2014,138.5,139.520004,138.130005,138.889999,106.90863,2252500
4/23/2014,138.809998,138.889999,137.889999,137.990005,106.215866,2847500
4/24/2014,136.380005,136.990005,135,136.649994,105.18441,2847800
4/25/2014,136.5,136.960007,135.690002,136.559998,105.11515,2093100
4/28/2014,137.429993,138.350006,135.970001,137.229996,105.630867,2244300
4/29/2014,137.869995,137.899994,136.559998,137.550003,105.877182,1820900
4/30/2014,137.630005,139.199997,137.330002,139.089996,107.062599,2904000
5/1/2014,139.5,141.490005,139.119995,140.809998,108.38652,3997400
5/2/2014,141.630005,141.830002,139.869995,140.119995,107.855415,5758500
5/5/2014,139.139999,141.050003,138.649994,140.610001,108.232582,2710900
5/6/2014,140.279999,140.429993,139.169998,139.289993,107.216522,2299700
5/7/2014,139.979996,141.25,139.179993,141.139999,108.640549,2238500
5/8/2014,140.880005,142.119995,140.509995,140.830002,108.401932,1939400
5/9/2014,140.559998,141.369995,140.25,141.339996,108.794479,2093000
5/12/2014,141.779999,142.940002,141.710007,142.820007,109.933693,2972100
5/13/2014,143,143.369995,142.320007,142.429993,109.633499,1695400
5/14/2014,142.479996,142.770004,141.410004,141.600006,108.994629,2113400
5/15/2014,141.559998,141.740005,140.020004,140.979996,108.517372,2388400
5/16/2014,140.929993,141.199997,139.910004,141.130005,108.632835,1901700
5/19/2014,140.070007,142,139.979996,141.669998,109.04847,1529200
5/20/2014,141.600006,141.899994,139.889999,140.229996,107.940056,1845100
5/21/2014,139.770004,140.789993,139.770004,140.660004,108.935272,1641000
5/22/2014,140.710007,140.960007,140.259995,140.309998,108.664169,1550100
5/23/2014,140.229996,141.179993,140.050003,141.139999,109.307007,1209400
5/27/2014,141.5,141.600006,141.130005,141.440002,109.539337,1512300
5/28/2014,141.809998,141.899994,141.059998,141.429993,109.531601,1566100
5/29/2014,141.5,142.429993,141.190002,142.389999,110.275063,1624100
5/30/2014,142.110001,142.669998,141.779999,142.550003,110.398956,3908500
6/2/2014,142.270004,142.910004,141.690002,142.320007,110.220871,1682300
6/3/2014,142.080002,143.130005,141.610001,142.889999,110.662308,2061700
6/4/2014,142.910004,143,142.259995,142.259995,110.174385,1335700
6/5/2014,142.759995,143.740005,141.899994,143.710007,111.297379,1542300
6/6/2014,143.990005,144.639999,143.529999,144.639999,112.017616,1768700
6/9/2014,144.639999,145.529999,144.610001,145.320007,112.54422,1800900
6/10/2014,144.970001,145.210007,144.460007,144.970001,112.27317,1700000
6/11/2014,144.660004,144.970001,144.190002,144.410004,111.839439,1489900
6/12/2014,144.949997,144.949997,142.779999,143.070007,110.801689,1839400
6/13/2014,143.190002,143.75,142.830002,143.360001,111.026283,1376200
6/16/2014,142.929993,143.529999,142.600006,143.320007,110.995338,1274300
6/17/2014,143.009995,143.990005,142.639999,143.690002,111.281876,1209400
6/18/2014,143.929993,144.389999,142.770004,144.330002,111.777527,1340700
6/19/2014,144.529999,144.720001,143.990005,144.490005,111.901421,1560500
6/20/2014,144.539993,145.300003,144.199997,145.160004,112.420334,4204600
6/23/2014,145.100006,145.300003,144.009995,144.089996,111.591652,1390200
6/24/2014,143.710007,144.619995,143.050003,143.089996,110.817162,1404500
6/25/2014,143,144.380005,142.880005,143.649994,111.2509,1321800
6/26/2014,143.75,143.990005,142.559998,143.729996,111.312813,1490900
6/27/2014,143.169998,144.070007,143.059998,143.690002,111.281876,1981800
6/30/2014,143.919998,143.929993,143.059998,143.240005,110.93335,1878400
7/1/2014,143.410004,144.820007,143.380005,144.559998,111.955658,1767600
7/2/2014,144.229996,145.300003,143.559998,145.229996,112.474541,1621300
7/3/2014,145.25,145.729996,145,145.410004,112.61393,1142200
7/7/2014,145.479996,145.580002,144.5,144.910004,112.226707,1257900
7/8/2014,145.220001,145.399994,144.479996,144.559998,111.955658,1596700
7/9/2014,144.779999,145.039993,144.029999,144.679993,112.048584,1521800
7/10/2014,143.5,144.199997,143.240005,143.889999,111.436722,2070100
7/11/2014,144.139999,144.490005,143.539993,144.309998,111.76207,1907900
7/14/2014,144.990005,145.710007,144.75,145,112.296402,2114600
7/15/2014,145,145.479996,144.360001,145.059998,112.34285,1955700
7/16/2014,145.279999,146.25,145.029999,146.169998,113.202507,1969200
7/17/2014,145.330002,145.669998,143.449997,143.539993,111.165657,2776500
7/18/2014,143.830002,145.059998,143.539993,144.830002,112.164749,2133000
7/21/2014,144.660004,144.869995,143.649994,144.300003,111.754311,1520900
7/22/2014,144.889999,145.669998,144.889999,145.119995,112.38932,1608200
7/23/2014,145.339996,145.449997,144.529999,144.679993,112.048584,1849400
7/24/2014,145.509995,146.429993,144.470001,145.130005,112.397118,2580000
7/25/2014,145.660004,145.940002,144.589996,145.119995,112.38932,1601800
7/28/2014,144.919998,145.630005,143.779999,145.529999,112.706856,2002200
7/29/2014,145.220001,146.270004,143.990005,144.020004,111.53746,2286600
7/30/2014,144.259995,144.779999,143.520004,143.740005,111.320595,2458400
7/31/2014,143.330002,143.550003,140.600006,140.889999,109.11338,3571100
8/1/2014,140.149994,141.039993,139.080002,140.110001,108.509308,2505800
8/4/2014,140.149994,140.979996,139.210007,140.75,109.004944,2494500
8/5/2014,140.619995,141.119995,139.339996,139.779999,108.253731,2168500
8/6/2014,139.139999,139.940002,138.429993,139.550003,108.0756,2679000
8/7/2014,140.050003,140.369995,138.960007,139.130005,107.750336,1892500
8/8/2014,139.300003,140.889999,138.889999,140.850006,109.082397,2702600
8/11/2014,140.929993,141.5,140.539993,140.580002,108.873306,1919100
8/12/2014,140.619995,141.210007,140.429993,140.880005,109.105652,2176100
8/13/2014,141.350006,141.830002,140.919998,141.800003,109.81813,3104300
8/14/2014,142,142.389999,141.850006,142.339996,110.236374,1586900
8/15/2014,142.809998,142.979996,141.020004,141.919998,109.911072,1960900
8/18/2014,142.75,144.190002,142.589996,144.119995,111.614868,1852900
8/19/2014,144.470001,145.009995,143.809998,144.25,111.715546,1592500
8/20/2014,143.860001,144.820007,143.5,144.600006,112.654373,2298800
8/21/2014,144.779999,144.990005,144.350006,144.5,112.576431,1475800
8/22/2014,144.5,144.830002,144.020004,144.130005,112.2882,1547500
8/25/2014,144.660004,144.990005,144.419998,144.699997,112.732254,1012900
8/26/2014,145,145.389999,144.570007,144.600006,112.654373,1808100
8/27/2014,144.429993,144.860001,143.630005,143.940002,112.14016,1402200
8/28/2014,143.320007,144.119995,143.020004,143.979996,112.171326,1314100
8/29/2014,144.059998,144.389999,143.179993,144,112.18692,1537800
9/2/2014,143.300003,144.610001,143.300003,144.220001,112.358322,1578800
9/3/2014,144.470001,144.720001,143.550003,143.820007,112.0467,1533600
9/4/2014,144.210007,144.649994,143.350006,143.610001,111.883049,1549800
9/5/2014,143.639999,144.320007,143.149994,144.199997,112.342697,1989100
9/8/2014,144.410004,145.449997,144.110001,144.889999,112.880272,2446100
9/9/2014,144.699997,145.259995,144.25,144.460007,112.545303,1745400
9/10/2014,144.630005,144.990005,144,144.639999,112.685501,1558800
9/11/2014,143.990005,144.380005,143.600006,144.350006,112.459587,1465400
9/12/2014,144.449997,144.449997,143.5,143.940002,112.14016,2135400
9/15/2014,144.169998,144.690002,143.660004,144.479996,112.560852,1868000
9/16/2014,143.800003,144.990005,143.589996,144.850006,112.849106,1945100
9/17/2014,144.919998,145.789993,144.270004,145.369995,113.254242,2757000
9/18/2014,145.699997,147.059998,145.690002,146.839996,114.399437,2364800
9/19/2014,147.419998,147.869995,146.520004,146.690002,114.282608,8106200
9/22/2014,146.919998,147,145.5,145.710007,113.519104,2231000
9/23/2014,145.229996,145.600006,144.350006,144.369995,112.475159,2049700
9/24/2014,144.169998,145.119995,143.720001,144.880005,112.872475,2608200
9/25/2014,144.410004,144.460007,142.070007,142.479996,111.002693,2764200
